SR,PARISH_x,CODE,TOWNLAND,1841_MALE,1841_FEMALE,1841_INHABITED,1841_UNINHABITED,1851_MALE,1851_FEMALE,1851_INHABITED,1851_UNINHABITED,1861_MALE,1861_FEMALE,1861_INHABITED,1861_UNINHABITED,1871_MALE,1871_FEMALE,1871_INHABITED,1871_UNINHABITED,1881_MALE,1881_FEMALE,1881_INHABITED,1881_UNINHABITED,1891_MALE,1891_FEMALE,1891_INHABITED,1891_UNINHABITED,COUNTY,COUNTY_ID,BARONY,BARONY_ID,PARISH_y,PARISH_ID,OS_ID,MODERN_NAME,TOWNLAND_ID,OS_HECTARES,CENTRE_LAT,CENTRE_LNG,MATCH_CODE,VRTI,Google_Drive_Link,Histogram_of_Male_and_Female,Male_to_Female_Ratio,Population_changes
1,,260028,BALBRIGGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6196,8714,2796,177,0,0,0,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260028,BALBRIGGAN,C_10_B_01_P_04_260028,131.737,53.60559,-6.17661,260028,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260028_BALBRIGGAN,https://drive.google.com/uc?id=1_SjOWg90bglQ_oSZFlZS0z5x4k2Xv-V9,,,
2,,260151,BLANCHARDSTOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,1702,327,19,0,0,0,0,DUBLIN,C_10,CASTLEKNOCK,C_10_B_02,CASTLEKNOCK,C_10_B_02_P_01,260151,BLANCHARDSTOWN,C_10_B_02_P_01_260151,183.336,53.38354,-6.37674,260151,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_02_P_01_260151_BLANCHARDSTOWN,https://drive.google.com/uc?id=1u0-qki_Zh8zyBjvgr9Srz1188GKMkAu8,,,
4,,260194,CABINTEELY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,1611,519,48,0,0,0,0,DUBLIN,C_10,RATHDOWN,C_10_B_06,KILL,C_10_B_06_P_05,260194,CABINTEELY,C_10_B_06_P_05_260194,108.913,53.26256,-6.1597,260194,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_05_260194_CABINTEELY,https://drive.google.com/uc?id=1L6F4PxhJEIQQWHpT0w77qpoQdRXl5W-4,,,
7,,260356,DUNDRUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938,3202,1065,55,0,0,0,0,DUBLIN,C_10,RATHDOWN,C_10_B_06,TANEY,C_10_B_06_P_12,260356,DUNDRUM,C_10_B_06_P_12_260356,128.539,53.28674,-6.24722,260356,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_12_260356_DUNDRUM,https://drive.google.com/uc?id=1tiqqbZ-DvR78hcx-4ordBFPQRVdY6xFu,,,
8,,260477,HOWTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,1008,364,99,0,0,0,0,DUBLIN,C_10,COOLOCK,C_10_B_03,HOWTH,C_10_B_03_P_05,260477,HOWTH,C_10_B_03_P_05_260477,493.513,53.37602,-6.06295,260477,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_03_P_05_260477_HOWTH,https://drive.google.com/uc?id=1Ce713fC5vIFV5Tz9YoPrgttZWowcL-qj,,,
9,,260600,LUCAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,2097,790,37,0,0,0,0,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,LUCAN,C_10_B_05_P_11,260600,LUCAN_AND_PETTYCANNON,C_10_B_05_P_11_260600,108.84,53.35451,-6.44844,260600,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_11_260600_LUCAN_AND_PETTYCANNON,https://drive.google.com/uc?id=1W-ANXT12UZwIIWHLasWlTO-7GIg0zxNn,,,
10,,260759,RATHCOOLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,1321,522,8,0,0,0,0,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,RATHCOOLE,C_10_B_05_P_14,260759,RATHCOOLE,C_10_B_05_P_14_260759,169.179,53.27938,-6.46685,260759,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_14_260759_RATHCOOLE,https://drive.google.com/uc?id=1-jROpM2jxLwbT42hXP_votfDG90nnAak,,,
11,,260761,RATHFARNHAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,2137,697,60,0,0,0,0,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,RATHFARNHAM,C_10_B_05_P_15,260761,RATHFARNHAM,C_10_B_05_P_15_260761,243.017,53.296,-6.27841,260761,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_15_260761_RATHFARNHAM,https://drive.google.com/uc?id=1fN5icBGLNqtgG39rkeIiAcI2Nc_DvccG,,,
13,,260867,TALLAGHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401,2109,331,99,0,0,0,0,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,TALLAGHT,C_10_B_05_P_20,260867,TALLAGHT,C_10_B_05_P_20_260867,425.091,53.28945,-6.35891,260867,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_20_260867_TALLAGHT,https://drive.google.com/uc?id=1v8Y8IE8UWYkojyS9p8XO3STtgdncvCbt,,,
15,,260158,BOOTERSTOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,176,60,2,0,0,0,0,DUBLIN,C_10,RATHDOWN,C_10_B_06,BOOTERSTOWN,C_10_B_06_P_01,260158,BOOTERSTOWN,C_10_B_06_P_01_260158,59.22,53.30509,-6.20236,260158,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_01_260158_BOOTERSTOWN,https://drive.google.com/uc?id=18Vy410t8e3e_1x6mUcZzUAohETSNkrea,,,
17,,211237,DONNYBROOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8355,8378,2347,209,0,0,0,0,TIPPERARY,C_27,UPPER_ORMOND,C_27_B_12,BALLYMACKEY,C_27_B_12_P_03,211237,DONNYBROOK,C_27_B_12_P_03_211237,48.175,52.89119,-8.07113,211237,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_27_B_12_P_03_211237_DONNYBROOK,https://drive.google.com/uc?id=1k-EzgivhuwquQZHCNKB6qLs5GA1xy_TE,,,
20,,260639,MONKSTOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,76,21,4,0,0,0,0,DUBLIN,C_10,RATHDOWN,C_10_B_06,MONKSTOWN,C_10_B_06_P_09,260639,MONKSTOWN,C_10_B_06_P_09_260639,87.169,53.28661,-6.14466,260639,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_09_260639_MONKSTOWN,https://drive.google.com/uc?id=12aIH5-wlrv2PIHG01dIjZj65HxOV6ffr,,,
82,BALDONGAN,260034,BALDONGAN,29,15,5,1,27,22,5,0,27,19,5,0,0,0,0,0,14,13,7,0,16,12,7,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALDONGAN,C_10_B_01_P_01,260034,BALDONGAN,C_10_B_01_P_01_260034,165.811,53.55384,-6.1265,260034,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_01_260034_BALDONGAN,https://drive.google.com/uc?id=1OOcAuykO0DcD5EWgxPYK885MRmZv2rfT,,,
83,BALDONGAN,260050,BALLAGHSTOWN,9,15,6,1,21,17,7,0,13,8,4,0,17,13,5,0,8,16,4,0,8,9,4,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALDONGAN,C_10_B_01_P_01,260050,BALLAGHSTOWN,C_10_B_01_P_01_260050,88.239,53.54651,-6.1406,260050,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_01_260050_BALLAGHSTOWN,https://drive.google.com/uc?id=1RqFIO04j9Dv-yNTbNvE7503Ehb1Ds5b_,,,
84,BALDONGAN,260582,LAYTOWN,4,3,1,0,2,4,1,0,0,0,0,1,11,14,5,0,0,0,0,0,0,0,0,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALDONGAN,C_10_B_01_P_01,260582,LAYTOWN,C_10_B_01_P_01_260582,55.313,53.54501,-6.12858,260582,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_01_260582_LAYTOWN,https://drive.google.com/uc?id=1Smn8RxcEhczqEy766gy9WW5BQS7x86__,,,
87,BALROTHERY,260012,ARDGILLAN_DEMESNE,21,37,8,0,11,17,5,0,24,23,5,0,14,13,7,1,16,25,5,0,16,13,5,1,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260012,ARDGILLAN_DEMESNE,C_10_B_01_P_04_260012,75.687,53.58858,-6.15872,260012,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260012_ARDGILLAN_DEMESNE,https://drive.google.com/uc?id=1H8HEiZ_wK5beDuXKrMHOqQmAMz4qdQtU,,,
88,BALROTHERY,260028,BALBRIGGAN,0,0,0,0,3,7,2,2,33,47,14,4,0,0,0,0,0,0,0,0,0,0,0,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260028,BALBRIGGAN,C_10_B_01_P_04_260028,131.737,53.60559,-6.17661,260028,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260028_BALBRIGGAN,https://drive.google.com/uc?id=1_SjOWg90bglQ_oSZFlZS0z5x4k2Xv-V9,,,
89,BALROTHERY,260111,BALROTHERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260111,BALROTHERY,C_10_B_01_P_04_260111,25.534,53.58896,-6.18777,260111,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260111_BALROTHERY,https://drive.google.com/uc?id=1-ZGMUoE74S9sboiEgFYV9qQ5QMD2bgvS,,,
90,BALROTHERY,260145,BLACKHALL,7,8,4,0,19,26,11,0,8,7,3,1,7,8,4,0,6,6,3,1,10,12,5,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260145,BLACKHALL,C_10_B_01_P_04_260145,68.229,53.59134,-6.18264,260145,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260145_BLACKHALL,https://drive.google.com/uc?id=12Ss5P59_gEODPquzYbYYb9VMfUlSDfVD,,,
91,BALROTHERY,260161,BOWHILL,3,5,1,0,9,6,5,1,16,8,5,2,9,3,2,0,4,2,2,0,0,0,0,2,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260161,BOWHILL,C_10_B_01_P_04_260161,38.477,53.58792,-6.20431,260161,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260161_BOWHILL,https://drive.google.com/uc?id=1s8vXI2dUOrBXGxX1Z_YadSKqRcQTnROj,,,
92,BALROTHERY,260164,BREMORE,29,39,11,0,39,35,11,0,24,31,10,1,24,25,11,1,27,24,10,1,27,27,9,1,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260164,BREMORE,C_10_B_01_P_04_260164,305.024,53.62117,-6.20025,260164,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260164_BREMORE,https://drive.google.com/uc?id=1kJRvf20dop4X9FryeBVdck0h56eEibxA,,,
93,BALROTHERY,260215,CASTLELAND,21,19,8,0,22,30,10,2,15,10,3,0,16,22,9,0,15,23,7,2,11,14,7,1,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260215,CASTLELAND,C_10_B_01_P_04_260215,23.815,53.59891,-6.18028,260215,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260215_CASTLELAND,https://drive.google.com/uc?id=12lqZkrzI5MkAMS2wTR_Lvxw4WINIYCZi,,,
94,BALROTHERY,260227,CLOGHEDER,10,5,2,0,6,2,1,0,5,3,1,0,8,5,2,0,8,4,1,0,8,4,2,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260227,CLOGHEDER,C_10_B_01_P_04_260227,25.159,53.60619,-6.20352,260227,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260227_CLOGHEDER,https://drive.google.com/uc?id=1PM29McwLLWhPnZ3ftD_cea38HzC9QzU7,,,
95,BALROTHERY,260231,CLONARD_OR_FOLKSTOWN_GREAT,49,53,28,0,40,41,18,1,25,18,12,0,18,18,6,0,15,22,7,0,17,15,6,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260231,CLONARD_OR_FOLKSTOWN_GREAT,C_10_B_01_P_04_260231,150.586,53.60541,-6.20922,260231,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260231_CLONARD_OR_FOLKSTOWN_GREAT,https://drive.google.com/uc?id=1t8DkyjxKfVU-O5r6cNMsyb06zdYvfQi9,,,
96,BALROTHERY,260308,COURTLOUGH,60,63,19,2,66,61,20,1,69,71,21,2,58,46,17,0,53,57,17,0,56,64,18,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260308,COURTLOUGH,C_10_B_01_P_04_260308,353.963,53.56613,-6.19666,260308,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260308_COURTLOUGH,https://drive.google.com/uc?id=1PAmKvI0DrolZMRZJ4YgHEWxIwaSOL_mj,,,
97,BALROTHERY,260318,CULLEN_HILL,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260318,CULLEN_HILL,C_10_B_01_P_04_260318,25.682,53.57926,-6.19369,260318,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260318_CULLEN_HILL,https://drive.google.com/uc?id=1kaNeYyJn1oxO8l0KZ7Q1_r7yKl0aTf0Z,,,
98,BALROTHERY,260327,DARCYSTOWN,149,159,58,2,135,140,50,3,84,96,38,6,70,75,29,0,71,71,33,1,59,54,28,2,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260327,DARCYSTOWN,C_10_B_01_P_04_260327,197.736,53.57925,-6.17782,260327,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260327_DARCYSTOWN,https://drive.google.com/uc?id=192TKfap-XnOSkr__om4FHCaYXwlpVMB9,,,
99,BALROTHERY,260337,DENNIS'_FIELDS,4,1,1,0,1,1,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260337,DENNIS'_FIELDS,C_10_B_01_P_04_260337,5.75,53.57632,-6.19134,260337,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260337_DENNIS'_FIELDS,https://drive.google.com/uc?id=1GPS6gM6dHwvLWM4JWFYP1M9JlgAekWbG,,,
100,BALROTHERY,260374,FLEMINGTOWN,16,17,4,0,6,2,1,2,9,5,3,0,7,3,2,0,2,4,2,0,12,7,4,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260374,FLEMINGTOWN,C_10_B_01_P_04_260374,159.531,53.61732,-6.21793,260374,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260374_FLEMINGTOWN,https://drive.google.com/uc?id=1yHSwNtBZU6tBoS5i2y3eTCdTYa_UBeny,,,
101,BALROTHERY,260375,FOLKSTOWN_LITTLE,16,18,6,0,24,25,9,1,12,17,6,1,13,14,6,0,9,12,4,0,13,10,5,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260375,FOLKSTOWN_LITTLE,C_10_B_01_P_04_260375,50.29,53.59832,-6.21032,260375,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260375_FOLKSTOWN_LITTLE,https://drive.google.com/uc?id=1HrhK3VAsE9EaVSlwOSpQrr5Et6wkqYzI,,,
102,BALROTHERY,260396,GARDENERSHILL,0,0,0,0,0,0,0,0,2,2,1,0,3,3,1,0,3,4,1,0,0,0,0,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260396,GARDENERSHILL,C_10_B_01_P_04_260396,5.336,53.59696,-6.18813,260396,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260396_GARDENERSHILL,https://drive.google.com/uc?id=1YWdYEV487V7TE2JlUxaus-gA7NDKCZJx,,,
103,BALROTHERY,260401,GIBBONSMOOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260401,GIBBONSMOOR,C_10_B_01_P_04_260401,3.925,53.58436,-6.19619,260401,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260401_GIBBONSMOOR,https://drive.google.com/uc?id=1Kez4qHZ6A4OkZack89PmJAfi4i_vSq4r,,,
104,BALROTHERY,260420,GLEBE_NORTH,7,4,2,0,9,8,4,0,8,8,3,3,3,2,1,0,5,3,2,0,5,5,2,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260420,GLEBE_NORTH,C_10_B_01_P_04_260420,5.927,53.59822,-6.18555,260420,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260420_GLEBE_NORTH,https://drive.google.com/uc?id=1zhfQadN6lm4ZEOiLchhOuM0Jy-QeiP2L,,,
105,BALROTHERY,260422,GLEBE_SOUTH,5,5,2,0,3,7,2,0,3,9,1,1,4,13,2,0,4,9,2,0,1,2,1,1,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260422,GLEBE_SOUTH,C_10_B_01_P_04_260422,12.761,53.58449,-6.19094,260422,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260422_GLEBE_SOUTH,https://drive.google.com/uc?id=1SzBJz8eBm5gkigDLN-iHRA9ymB0LNN1k,,,
106,BALROTHERY,260452,HAMPTON_DEMESNE,40,38,16,0,34,35,13,1,22,28,11,1,22,29,10,0,23,28,10,0,14,22,9,3,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260452,HAMPTON_DEMESNE,C_10_B_01_P_04_260452,185.168,53.59374,-6.16932,260452,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260452_HAMPTON_DEMESNE,https://drive.google.com/uc?id=1kr9b7ljmceUBzIBnMM5v-roSYCEIrVkv,,,
107,BALROTHERY,260483,HYNESPARK,2,1,1,0,2,5,1,0,2,4,1,0,3,1,1,0,1,3,1,0,0,0,0,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260483,HYNESPARK,C_10_B_01_P_04_260483,5.468,53.57668,-6.1984,260483,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260483_HYNESPARK,https://drive.google.com/uc?id=1kAMsXJV6hFE1bIpI5lwQ3CmSC-aFb5_h,,,
108,BALROTHERY,260486,INCH,28,20,8,1,24,22,8,0,27,23,8,1,27,29,10,1,18,20,7,1,19,18,8,1,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260486,INCH,C_10_B_01_P_04_260486,70.958,53.58857,-6.1969,260486,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260486_INCH,https://drive.google.com/uc?id=1GZHYDV2WeWmNFqC7VRfC76pTe9u3kkF5,,,
109,BALROTHERY,260525,KILLALANE,23,18,5,0,13,17,5,3,8,12,4,0,9,12,4,0,15,18,4,0,19,21,6,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260525,KILLALANE,C_10_B_01_P_04_260525,94.629,53.56764,-6.16265,260525,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260525_KILLALANE,https://drive.google.com/uc?id=1XAZNfFB0rjjLytOPBVP2FcAZzmnS5ICL,,,
113,BALROTHERY,260567,KNOCK,22,22,8,0,16,13,5,0,18,20,5,0,20,20,7,0,12,13,3,3,10,14,4,1,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260567,KNOCK,C_10_B_01_P_04_260567,74.516,53.58084,-6.20366,260567,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260567_KNOCK,https://drive.google.com/uc?id=1hsFci7CrQsQPHC0ALBwoqnO-cemUxucZ,,,
114,BALROTHERY,260574,KNOCKNAGIN,38,42,15,1,25,13,7,1,20,31,7,1,30,22,7,3,24,34,10,0,14,23,8,2,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260574,KNOCKNAGIN,C_10_B_01_P_04_260574,103.852,53.62891,-6.21543,260574,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260574_KNOCKNAGIN,https://drive.google.com/uc?id=1lTf3krgZP1Y6mVcDGQqnSkv-_uSkFFyU,,,
115,BALROTHERY,260592,LOUGHBARN,27,28,9,0,27,23,9,2,6,4,2,0,8,4,2,0,9,10,2,0,10,9,2,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260592,LOUGHBARN,C_10_B_01_P_04_260592,51.765,53.56255,-6.1606,260592,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260592_LOUGHBARN,https://drive.google.com/uc?id=1X3YstWxTDzB8Y6KS2WG26pxB-bjXSU_2,,,
116,BALROTHERY,260616,MALHENEY,61,54,22,0,41,41,18,0,17,16,8,1,12,16,6,1,15,12,7,1,15,13,6,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260616,MALHENEY,C_10_B_01_P_04_260616,41.935,53.55811,-6.17851,260616,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260616_MALHENEY,https://drive.google.com/uc?id=1RO4d2ArEWj0sF6Or3TnQmtrs4vV00Uuc,,,
117,BALROTHERY,260619,MARGARETSTOWN,12,16,5,1,12,11,4,1,7,10,4,1,6,8,3,0,5,10,3,0,5,6,2,1,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260619,MARGARETSTOWN,C_10_B_01_P_04_260619,29.744,53.57394,-6.15843,260619,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260619_MARGARETSTOWN,https://drive.google.com/uc?id=1ZMKx30DDh8SJHk7EEouK6b5D6stHQ0Ib,,,
118,BALROTHERY,260715,PALMERSTOWN,16,18,5,0,7,6,2,2,6,10,8,0,16,16,6,0,4,5,2,3,3,6,2,1,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260715,PALMERSTOWN,C_10_B_01_P_04_260715,100.975,53.55875,-6.16981,260715,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260715_PALMERSTOWN,https://drive.google.com/uc?id=1Kn1dVIlzyTAz0OGdSe_1Ii0P5wAslrZH,,,
119,BALROTHERY,260795,ROSEPARK,4,2,1,0,1,2,1,0,4,2,1,0,3,2,1,0,1,2,1,0,0,0,0,1,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260795,ROSEPARK,C_10_B_01_P_04_260795,3.331,53.58591,-6.18534,260795,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260795_ROSEPARK,https://drive.google.com/uc?id=1ejkXnbUx8Qc9_OFft5lkaCxgNMJ8QA90,,,
120,BALROTHERY,260806,SALMON,3,8,2,0,1,2,1,1,2,0,1,1,2,1,1,0,5,3,1,0,8,3,1,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260806,SALMON,C_10_B_01_P_04_260806,101.487,53.57041,-6.17749,260806,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260806_SALMON,https://drive.google.com/uc?id=1hMiX7U7SjpyyGz2UU-v-h_1zEWpAV0or,,,
121,BALROTHERY,260851,STEPHENSTOWN,36,42,15,2,21,26,12,0,31,31,11,2,33,28,9,0,32,22,8,1,20,24,7,3,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260851,STEPHENSTOWN,C_10_B_01_P_04_260851,125.826,53.59833,-6.19636,260851,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260851_STEPHENSTOWN,https://drive.google.com/uc?id=1AzhbVYQ3t9X5x7vMOalsaA3mZZiIUe9w,,,
122,BALROTHERY,260868,TANKARDSTOWN,21,24,8,1,15,23,7,1,6,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260868,TANKARDSTOWN,C_10_B_01_P_04_260868,82.899,53.61097,-6.19138,260868,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260868_TANKARDSTOWN,https://drive.google.com/uc?id=1nznQeBgv5HYDyM-lozLDoZIiiduSuHdL,,,
123,BALROTHERY,260896,TURKINSTOWN,9,9,3,0,2,5,2,1,7,8,2,0,5,5,2,0,4,4,2,0,4,3,2,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,260896,TURKINSTOWN,C_10_B_01_P_04_260896,33.606,53.59053,-6.20554,260896,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260896_TURKINSTOWN,https://drive.google.com/uc?id=1TDQ0kqAZ3L3e5-AQVY57tsjNL7XmSMXh,,,
128,BALSCADDAN,260044,BALGADDY,12,10,4,0,10,9,5,0,14,7,4,0,11,8,4,0,11,9,4,0,12,11,4,0,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALSCADDAN,C_10_B_01_P_06,260044,BALGADDY,C_10_B_01_P_06_260044,56.985,53.60339,-6.25445,260044,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_06_260044_BALGADDY,https://drive.google.com/uc?id=1DHn9zmuRhmqRN7To5GK-kcfySLYsgMUy,,,
