SR,CODE,TOWNLAND,COUNTY,COUNTY_ID,BARONY,BARONY_ID,PARISH,PARISH_ID,1841_MALE,1841_FEMALE,1841_TOTAL_POPULATIONS,1841_INHABITED,1841_UNINHABITED,1841_TOTAL_HOUSES,1851_MALE,1851_FEMALE,1851_TOTAL_POPULATIONS,1851_INHABITED,1851_UNINHABITED,1851_TOTAL_HOUSES,1861_MALE,1861_FEMALE,1861_TOTAL_POPULATIONS,1861_INHABITED,1861_UNINHABITED,1861_TOTAL_HOUSES,1871_MALE,1871_FEMALE,1871_TOTAL_POPULATIONS,1871_INHABITED,1871_UNINHABITED,1871_TOTAL_HOUSES,1881_MALE,1881_FEMALE,1881_TOTAL_POPULATIONS,1881_INHABITED,1881_UNINHABITED,1881_TOTAL_HOUSES,1891_MALE,1891_FEMALE,1891_TOTAL_POPULATIONS,1891_INHABITED,1891_UNINHABITED,1891_TOTAL_HOUSES,MODERN_NAME,TOWNLAND_ID,OS_HECTARES,CENTRE_LAT,CENTRE_LNG,VRTI,Google_Drive_Link,Histogram_of_Male_and_Female,Male_to_Female_Ratio,Population_changes
1,260028,BALBRIGGAN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6196,8714,14910,2796,177,2973,0,0,0,0,0,0,BALBRIGGAN,C_10_B_01_P_04_260028,131.737,53.60559,-6.17661,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260028_BALBRIGGAN,https://drive.google.com/uc?id=1_SjOWg90bglQ_oSZFlZS0z5x4k2Xv-V9,,,
2,260151,BLANCHARDSTOWN,DUBLIN,C_10,CASTLEKNOCK,C_10_B_02,CASTLEKNOCK,C_10_B_02_P_01,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,1702,3477,327,19,346,0,0,0,0,0,0,BLANCHARDSTOWN,C_10_B_02_P_01_260151,183.336,53.38354,-6.37674,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_02_P_01_260151_BLANCHARDSTOWN,https://drive.google.com/uc?id=1u0-qki_Zh8zyBjvgr9Srz1188GKMkAu8,,,
4,260194,CABINTEELY,DUBLIN,C_10,RATHDOWN,C_10_B_06,KILL,C_10_B_06_P_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,1611,2973,519,48,567,0,0,0,0,0,0,CABINTEELY,C_10_B_06_P_05_260194,108.913,53.26256,-6.1597,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_05_260194_CABINTEELY,https://drive.google.com/uc?id=1L6F4PxhJEIQQWHpT0w77qpoQdRXl5W-4,,,
7,260356,DUNDRUM,DUBLIN,C_10,RATHDOWN,C_10_B_06,TANEY,C_10_B_06_P_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938,3202,6140,1065,55,1120,0,0,0,0,0,0,DUNDRUM,C_10_B_06_P_12_260356,128.539,53.28674,-6.24722,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_12_260356_DUNDRUM,https://drive.google.com/uc?id=1tiqqbZ-DvR78hcx-4ordBFPQRVdY6xFu,,,
8,260477,HOWTH,DUBLIN,C_10,COOLOCK,C_10_B_03,HOWTH,C_10_B_03_P_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,1008,1866,364,99,463,0,0,0,0,0,0,HOWTH,C_10_B_03_P_05_260477,493.513,53.37602,-6.06295,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_03_P_05_260477_HOWTH,https://drive.google.com/uc?id=1Ce713fC5vIFV5Tz9YoPrgttZWowcL-qj,,,
9,260600,LUCAN,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,LUCAN,C_10_B_05_P_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,2097,4068,790,37,827,0,0,0,0,0,0,LUCAN_AND_PETTYCANNON,C_10_B_05_P_11_260600,108.84,53.35451,-6.44844,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_11_260600_LUCAN_AND_PETTYCANNON,https://drive.google.com/uc?id=1W-ANXT12UZwIIWHLasWlTO-7GIg0zxNn,,,
10,260759,RATHCOOLE,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,RATHCOOLE,C_10_B_05_P_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,1321,2631,522,8,530,0,0,0,0,0,0,RATHCOOLE,C_10_B_05_P_14_260759,169.179,53.27938,-6.46685,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_14_260759_RATHCOOLE,https://drive.google.com/uc?id=1-jROpM2jxLwbT42hXP_votfDG90nnAak,,,
11,260761,RATHFARNHAM,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,RATHFARNHAM,C_10_B_05_P_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,2137,4004,697,60,757,0,0,0,0,0,0,RATHFARNHAM,C_10_B_05_P_15_260761,243.017,53.296,-6.27841,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_15_260761_RATHFARNHAM,https://drive.google.com/uc?id=1fN5icBGLNqtgG39rkeIiAcI2Nc_DvccG,,,
13,260867,TALLAGHT,DUBLIN,C_10,NEWCASTLE_AND_UPPERCROSS,C_10_B_05,TALLAGHT,C_10_B_05_P_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401,2109,4510,331,99,430,0,0,0,0,0,0,TALLAGHT,C_10_B_05_P_20_260867,425.091,53.28945,-6.35891,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_05_P_20_260867_TALLAGHT,https://drive.google.com/uc?id=1v8Y8IE8UWYkojyS9p8XO3STtgdncvCbt,,,
15,260158,BOOTERSTOWN,DUBLIN,C_10,RATHDOWN,C_10_B_06,BOOTERSTOWN,C_10_B_06_P_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,176,327,60,2,62,0,0,0,0,0,0,BOOTERSTOWN,C_10_B_06_P_01_260158,59.22,53.30509,-6.20236,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_01_260158_BOOTERSTOWN,https://drive.google.com/uc?id=18Vy410t8e3e_1x6mUcZzUAohETSNkrea,,,
17,211237,DONNYBROOK,TIPPERARY,C_27,UPPER_ORMOND,C_27_B_12,BALLYMACKEY,C_27_B_12_P_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8355,8378,16733,2347,209,2556,0,0,0,0,0,0,DONNYBROOK,C_27_B_12_P_03_211237,48.175,52.89119,-8.07113,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_27_B_12_P_03_211237_DONNYBROOK,https://drive.google.com/uc?id=1k-EzgivhuwquQZHCNKB6qLs5GA1xy_TE,,,
20,260639,MONKSTOWN,DUBLIN,C_10,RATHDOWN,C_10_B_06,MONKSTOWN,C_10_B_06_P_09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,76,131,21,4,25,0,0,0,0,0,0,MONKSTOWN,C_10_B_06_P_09_260639,87.169,53.28661,-6.14466,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_06_P_09_260639_MONKSTOWN,https://drive.google.com/uc?id=12aIH5-wlrv2PIHG01dIjZj65HxOV6ffr,,,
82,260034,BALDONGAN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALDONGAN,C_10_B_01_P_01,29,15,44,5,1,6,27,22,49,5,0,5,27,19,46,5,0,5,0,0,0,0,0,0,14,13,27,7,0,7,16,12,28,7,0,7,BALDONGAN,C_10_B_01_P_01_260034,165.811,53.55384,-6.1265,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_01_260034_BALDONGAN,https://drive.google.com/uc?id=1OOcAuykO0DcD5EWgxPYK885MRmZv2rfT,,,
83,260050,BALLAGHSTOWN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALDONGAN,C_10_B_01_P_01,9,15,24,6,1,7,21,17,38,7,0,7,13,8,21,4,0,4,17,13,30,5,0,5,8,16,24,4,0,4,8,9,17,4,0,4,BALLAGHSTOWN,C_10_B_01_P_01_260050,88.239,53.54651,-6.1406,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_01_260050_BALLAGHSTOWN,https://drive.google.com/uc?id=1RqFIO04j9Dv-yNTbNvE7503Ehb1Ds5b_,,,
84,260582,LAYTOWN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALDONGAN,C_10_B_01_P_01,4,3,7,1,0,1,2,4,6,1,0,1,0,0,0,0,1,1,11,14,25,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,LAYTOWN,C_10_B_01_P_01_260582,55.313,53.54501,-6.12858,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_01_260582_LAYTOWN,https://drive.google.com/uc?id=1Smn8RxcEhczqEy766gy9WW5BQS7x86__,,,
87,260012,ARDGILLAN_DEMESNE,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,21,37,58,8,0,8,11,17,28,5,0,5,24,23,47,5,0,5,14,13,27,7,1,8,16,25,41,5,0,5,16,13,29,5,1,6,ARDGILLAN_DEMESNE,C_10_B_01_P_04_260012,75.687,53.58858,-6.15872,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260012_ARDGILLAN_DEMESNE,https://drive.google.com/uc?id=1H8HEiZ_wK5beDuXKrMHOqQmAMz4qdQtU,,,
88,260028,BALBRIGGAN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,0,0,0,0,0,0,3,7,10,2,2,4,33,47,80,14,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BALBRIGGAN,C_10_B_01_P_04_260028,131.737,53.60559,-6.17661,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260028_BALBRIGGAN,https://drive.google.com/uc?id=1_SjOWg90bglQ_oSZFlZS0z5x4k2Xv-V9,,,
89,260111,BALROTHERY,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BALROTHERY,C_10_B_01_P_04_260111,25.534,53.58896,-6.18777,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260111_BALROTHERY,https://drive.google.com/uc?id=1-ZGMUoE74S9sboiEgFYV9qQ5QMD2bgvS,,,
90,260145,BLACKHALL,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,7,8,15,4,0,4,19,26,45,11,0,11,8,7,15,3,1,4,7,8,15,4,0,4,6,6,12,3,1,4,10,12,22,5,0,5,BLACKHALL,C_10_B_01_P_04_260145,68.229,53.59134,-6.18264,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260145_BLACKHALL,https://drive.google.com/uc?id=12Ss5P59_gEODPquzYbYYb9VMfUlSDfVD,,,
91,260161,BOWHILL,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,3,5,8,1,0,1,9,6,15,5,1,6,16,8,24,5,2,7,9,3,12,2,0,2,4,2,6,2,0,2,0,0,0,0,2,2,BOWHILL,C_10_B_01_P_04_260161,38.477,53.58792,-6.20431,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260161_BOWHILL,https://drive.google.com/uc?id=1s8vXI2dUOrBXGxX1Z_YadSKqRcQTnROj,,,
92,260164,BREMORE,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,29,39,68,11,0,11,39,35,74,11,0,11,24,31,55,10,1,11,24,25,49,11,1,12,27,24,51,10,1,11,27,27,54,9,1,10,BREMORE,C_10_B_01_P_04_260164,305.024,53.62117,-6.20025,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260164_BREMORE,https://drive.google.com/uc?id=1kJRvf20dop4X9FryeBVdck0h56eEibxA,,,
93,260215,CASTLELAND,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,21,19,40,8,0,8,22,30,52,10,2,12,15,10,25,3,0,3,16,22,38,9,0,9,15,23,38,7,2,9,11,14,25,7,1,8,CASTLELAND,C_10_B_01_P_04_260215,23.815,53.59891,-6.18028,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260215_CASTLELAND,https://drive.google.com/uc?id=12lqZkrzI5MkAMS2wTR_Lvxw4WINIYCZi,,,
94,260227,CLOGHEDER,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,10,5,15,2,0,2,6,2,8,1,0,1,5,3,8,1,0,1,8,5,13,2,0,2,8,4,12,1,0,1,8,4,12,2,0,2,CLOGHEDER,C_10_B_01_P_04_260227,25.159,53.60619,-6.20352,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260227_CLOGHEDER,https://drive.google.com/uc?id=1PM29McwLLWhPnZ3ftD_cea38HzC9QzU7,,,
95,260231,CLONARD_OR_FOLKSTOWN_GREAT,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,49,53,102,28,0,28,40,41,81,18,1,19,25,18,43,12,0,12,18,18,36,6,0,6,15,22,37,7,0,7,17,15,32,6,0,6,CLONARD_OR_FOLKSTOWN_GREAT,C_10_B_01_P_04_260231,150.586,53.60541,-6.20922,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260231_CLONARD_OR_FOLKSTOWN_GREAT,https://drive.google.com/uc?id=1t8DkyjxKfVU-O5r6cNMsyb06zdYvfQi9,,,
96,260308,COURTLOUGH,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,60,63,123,19,2,21,66,61,127,20,1,21,69,71,140,21,2,23,58,46,104,17,0,17,53,57,110,17,0,17,56,64,120,18,0,18,COURTLOUGH,C_10_B_01_P_04_260308,353.963,53.56613,-6.19666,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260308_COURTLOUGH,https://drive.google.com/uc?id=1PAmKvI0DrolZMRZJ4YgHEWxIwaSOL_mj,,,
97,260318,CULLEN_HILL,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CULLEN_HILL,C_10_B_01_P_04_260318,25.682,53.57926,-6.19369,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260318_CULLEN_HILL,https://drive.google.com/uc?id=1kaNeYyJn1oxO8l0KZ7Q1_r7yKl0aTf0Z,,,
98,260327,DARCYSTOWN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,149,159,308,58,2,60,135,140,275,50,3,53,84,96,180,38,6,44,70,75,145,29,0,29,71,71,142,33,1,34,59,54,113,28,2,30,DARCYSTOWN,C_10_B_01_P_04_260327,197.736,53.57925,-6.17782,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260327_DARCYSTOWN,https://drive.google.com/uc?id=192TKfap-XnOSkr__om4FHCaYXwlpVMB9,,,
99,260337,DENNIS'_FIELDS,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,4,1,5,1,0,1,1,1,2,1,0,1,0,2,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,DENNIS'_FIELDS,C_10_B_01_P_04_260337,5.75,53.57632,-6.19134,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260337_DENNIS'_FIELDS,https://drive.google.com/uc?id=1GPS6gM6dHwvLWM4JWFYP1M9JlgAekWbG,,,
100,260374,FLEMINGTOWN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,16,17,33,4,0,4,6,2,8,1,2,3,9,5,14,3,0,3,7,3,10,2,0,2,2,4,6,2,0,2,12,7,19,4,0,4,FLEMINGTOWN,C_10_B_01_P_04_260374,159.531,53.61732,-6.21793,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260374_FLEMINGTOWN,https://drive.google.com/uc?id=1yHSwNtBZU6tBoS5i2y3eTCdTYa_UBeny,,,
101,260375,FOLKSTOWN_LITTLE,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,16,18,34,6,0,6,24,25,49,9,1,10,12,17,29,6,1,7,13,14,27,6,0,6,9,12,21,4,0,4,13,10,23,5,0,5,FOLKSTOWN_LITTLE,C_10_B_01_P_04_260375,50.29,53.59832,-6.21032,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260375_FOLKSTOWN_LITTLE,https://drive.google.com/uc?id=1HrhK3VAsE9EaVSlwOSpQrr5Et6wkqYzI,,,
102,260396,GARDENERSHILL,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0,1,3,3,6,1,0,1,3,4,7,1,0,1,0,0,0,0,0,0,GARDENERSHILL,C_10_B_01_P_04_260396,5.336,53.59696,-6.18813,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260396_GARDENERSHILL,https://drive.google.com/uc?id=1YWdYEV487V7TE2JlUxaus-gA7NDKCZJx,,,
103,260401,GIBBONSMOOR,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GIBBONSMOOR,C_10_B_01_P_04_260401,3.925,53.58436,-6.19619,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260401_GIBBONSMOOR,https://drive.google.com/uc?id=1Kez4qHZ6A4OkZack89PmJAfi4i_vSq4r,,,
104,260420,GLEBE_NORTH,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,7,4,11,2,0,2,9,8,17,4,0,4,8,8,16,3,3,6,3,2,5,1,0,1,5,3,8,2,0,2,5,5,10,2,0,2,GLEBE_NORTH,C_10_B_01_P_04_260420,5.927,53.59822,-6.18555,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260420_GLEBE_NORTH,https://drive.google.com/uc?id=1zhfQadN6lm4ZEOiLchhOuM0Jy-QeiP2L,,,
105,260422,GLEBE_SOUTH,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,5,5,10,2,0,2,3,7,10,2,0,2,3,9,12,1,1,2,4,13,17,2,0,2,4,9,13,2,0,2,1,2,3,1,1,2,GLEBE_SOUTH,C_10_B_01_P_04_260422,12.761,53.58449,-6.19094,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260422_GLEBE_SOUTH,https://drive.google.com/uc?id=1SzBJz8eBm5gkigDLN-iHRA9ymB0LNN1k,,,
106,260452,HAMPTON_DEMESNE,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,40,38,78,16,0,16,34,35,69,13,1,14,22,28,50,11,1,12,22,29,51,10,0,10,23,28,51,10,0,10,14,22,36,9,3,12,HAMPTON_DEMESNE,C_10_B_01_P_04_260452,185.168,53.59374,-6.16932,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260452_HAMPTON_DEMESNE,https://drive.google.com/uc?id=1kr9b7ljmceUBzIBnMM5v-roSYCEIrVkv,,,
107,260483,HYNESPARK,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,2,1,3,1,0,1,2,5,7,1,0,1,2,4,6,1,0,1,3,1,4,1,0,1,1,3,4,1,0,1,0,0,0,0,0,0,HYNESPARK,C_10_B_01_P_04_260483,5.468,53.57668,-6.1984,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260483_HYNESPARK,https://drive.google.com/uc?id=1kAMsXJV6hFE1bIpI5lwQ3CmSC-aFb5_h,,,
108,260486,INCH,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,28,20,48,8,1,9,24,22,46,8,0,8,27,23,50,8,1,9,27,29,56,10,1,11,18,20,38,7,1,8,19,18,37,8,1,9,INCH,C_10_B_01_P_04_260486,70.958,53.58857,-6.1969,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260486_INCH,https://drive.google.com/uc?id=1GZHYDV2WeWmNFqC7VRfC76pTe9u3kkF5,,,
109,260525,KILLALANE,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,23,18,41,5,0,5,13,17,30,5,3,8,8,12,20,4,0,4,9,12,21,4,0,4,15,18,33,4,0,4,19,21,40,6,0,6,KILLALANE,C_10_B_01_P_04_260525,94.629,53.56764,-6.16265,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260525_KILLALANE,https://drive.google.com/uc?id=1XAZNfFB0rjjLytOPBVP2FcAZzmnS5ICL,,,
113,260567,KNOCK,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,22,22,44,8,0,8,16,13,29,5,0,5,18,20,38,5,0,5,20,20,40,7,0,7,12,13,25,3,3,6,10,14,24,4,1,5,KNOCK,C_10_B_01_P_04_260567,74.516,53.58084,-6.20366,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260567_KNOCK,https://drive.google.com/uc?id=1hsFci7CrQsQPHC0ALBwoqnO-cemUxucZ,,,
114,260574,KNOCKNAGIN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,38,42,80,15,1,16,25,13,38,7,1,8,20,31,51,7,1,8,30,22,52,7,3,10,24,34,58,10,0,10,14,23,37,8,2,10,KNOCKNAGIN,C_10_B_01_P_04_260574,103.852,53.62891,-6.21543,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260574_KNOCKNAGIN,https://drive.google.com/uc?id=1lTf3krgZP1Y6mVcDGQqnSkv-_uSkFFyU,,,
115,260592,LOUGHBARN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,27,28,55,9,0,9,27,23,50,9,2,11,6,4,10,2,0,2,8,4,12,2,0,2,9,10,19,2,0,2,10,9,19,2,0,2,LOUGHBARN,C_10_B_01_P_04_260592,51.765,53.56255,-6.1606,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260592_LOUGHBARN,https://drive.google.com/uc?id=1X3YstWxTDzB8Y6KS2WG26pxB-bjXSU_2,,,
116,260616,MALHENEY,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,61,54,115,22,0,22,41,41,82,18,0,18,17,16,33,8,1,9,12,16,28,6,1,7,15,12,27,7,1,8,15,13,28,6,0,6,MALHENEY,C_10_B_01_P_04_260616,41.935,53.55811,-6.17851,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260616_MALHENEY,https://drive.google.com/uc?id=1RO4d2ArEWj0sF6Or3TnQmtrs4vV00Uuc,,,
117,260619,MARGARETSTOWN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,12,16,28,5,1,6,12,11,23,4,1,5,7,10,17,4,1,5,6,8,14,3,0,3,5,10,15,3,0,3,5,6,11,2,1,3,MARGARETSTOWN,C_10_B_01_P_04_260619,29.744,53.57394,-6.15843,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260619_MARGARETSTOWN,https://drive.google.com/uc?id=1ZMKx30DDh8SJHk7EEouK6b5D6stHQ0Ib,,,
118,260715,PALMERSTOWN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,16,18,34,5,0,5,7,6,13,2,2,4,6,10,16,8,0,8,16,16,32,6,0,6,4,5,9,2,3,5,3,6,9,2,1,3,PALMERSTOWN,C_10_B_01_P_04_260715,100.975,53.55875,-6.16981,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260715_PALMERSTOWN,https://drive.google.com/uc?id=1Kn1dVIlzyTAz0OGdSe_1Ii0P5wAslrZH,,,
119,260795,ROSEPARK,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,4,2,6,1,0,1,1,2,3,1,0,1,4,2,6,1,0,1,3,2,5,1,0,1,1,2,3,1,0,1,0,0,0,0,1,1,ROSEPARK,C_10_B_01_P_04_260795,3.331,53.58591,-6.18534,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260795_ROSEPARK,https://drive.google.com/uc?id=1ejkXnbUx8Qc9_OFft5lkaCxgNMJ8QA90,,,
120,260806,SALMON,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,3,8,11,2,0,2,1,2,3,1,1,2,2,0,2,1,1,2,2,1,3,1,0,1,5,3,8,1,0,1,8,3,11,1,0,1,SALMON,C_10_B_01_P_04_260806,101.487,53.57041,-6.17749,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260806_SALMON,https://drive.google.com/uc?id=1hMiX7U7SjpyyGz2UU-v-h_1zEWpAV0or,,,
121,260851,STEPHENSTOWN,DUBLIN,C_10,BALROTHERY,C_10_B_01,BALROTHERY,C_10_B_01_P_04,36,42,78,15,2,17,21,26,47,12,0,12,31,31,62,11,2,13,33,28,61,9,0,9,32,22,54,8,1,9,20,24,44,7,3,10,STEPHENSTOWN,C_10_B_01_P_04_260851,125.826,53.59833,-6.19636,https://vrti-graph.adaptcentre.ie/entity-card/geo/modern-townland/C_10_B_01_P_04_260851_STEPHENSTOWN,https://drive.google.com/uc?id=1AzhbVYQ3t9X5x7vMOalsaA3mZZiIUe9w,,,
